대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 중구 대사동 135-26,65.27,블록구조,단독주택,기와,1952
대전광역시 중구 대사동 135-27,53.04,블록구조,단독주택,슬레이트,1975
대전광역시 중구 대사동 135-31,74.62,철근콘크리트구조,단독주택,(철근)콘크리트,2013-10-02
대전광역시 중구 대사동 135-35,77.7,경량철골구조,단독주택,기타지붕,2021-07-05
대전광역시 중구 대사동 135-37,148.93,벽돌구조,단독주택,(철근)콘크리트,1981-07-31
대전광역시 중구 대사동 135-38,91.13,블록구조,단독주택,슬레이트,1968-08-28
대전광역시 중구 대사동 135-39,52.56,블록구조,단독주택,기와,1974-12-30
대전광역시 중구 대사동 135-40,33.8,일반목구조,단독주택,기와,1974-01-04
대전광역시 중구 대사동 135-43,46.79,벽돌구조,단독주택,(철근)콘크리트,1979-10-06
대전광역시 중구 대사동 135-46,167.81,철근콘크리트구조,단독주택,(철근)콘크리트,1989-10-04
대전광역시 중구 대사동 135-47,43.33,블록구조,단독주택,기와,1970-10-15
대전광역시 중구 대사동 135-48,33.59,블록구조,단독주택,기와,1970-05-28
대전광역시 중구 대사동 135-49,46.7,블록구조,단독주택,슬레이트,1980-09-22
대전광역시 중구 대사동 135-5,132.85,일반목구조,제2종근린생활시설,기타지붕,2021-09-28
대전광역시 중구 대사동 135-53,77.82,벽돌구조,단독주택,(철근)콘크리트,1972-10-13
대전광역시 중구 대사동 135-54,366.04,기타조적구조,노유자시설,슬레이트,1975-12-18
대전광역시 중구 대사동 135-61,68.99,블록구조,단독주택,기와,1974-04-25
대전광역시 중구 대사동 135-63,38.13,벽돌구조,단독주택,슬레이트,1985-12-31
대전광역시 중구 대사동 135-7,30.2,블록구조,단독주택,슬레이트,1982-11-13
대전광역시 중구 대사동 135-71,78.86,블록구조,단독주택,슬레이트,1985-12-31
대전광역시 중구 대사동 135-73,49.19,블록구조,단독주택,기와,1970-09-30
대전광역시 중구 대사동 135-79,24.33,블록구조,단독주택,기와,1960
대전광역시 중구 대사동 135-8,42.97,벽돌구조,단독주택,기와,1955
대전광역시 중구 대사동 135-80,86.285,벽돌구조,단독주택,(철근)콘크리트,1993-01-09
대전광역시 중구 대사동 135-9,47.48,일반목구조,단독주택,슬레이트,1982-11-13
대전광역시 중구 대사동 135-91,61.81,벽돌구조,단독주택,기와,1968-08-19
대전광역시 중구 대사동 135-93,35.54,블록구조,단독주택,기와,1973-07-05
대전광역시 중구 대사동 135-94,74.89,블록구조,단독주택,슬레이트,1985-01-31
대전광역시 중구 대사동 135-95,66.91,일반철골구조,제2종근린생활시설,기타지붕,2018-02-28
대전광역시 중구 대사동 136,84.82,일반목구조,단독주택,기와,1957
대전광역시 중구 대사동 136-1,88.65,철근콘크리트구조,단독주택,(철근)콘크리트,2022-06-22
대전광역시 중구 대사동 136-2,90.43,벽돌구조,단독주택,(철근)콘크리트,1992-11-10
대전광역시 중구 대사동 136-3,63.45,벽돌구조,단독주택,(철근)콘크리트,1979-06-29
대전광역시 중구 대사동 137-1,58.38,일반목구조,단독주택,기와,1956
대전광역시 중구 대사동 137-13,37.45,일반목구조,단독주택,기와,1958
대전광역시 중구 대사동 137-19,218.4,철근콘크리트구조,단독주택,(철근)콘크리트,2023-12-05
대전광역시 중구 대사동 137-2,71.37,벽돌구조,단독주택,(철근)콘크리트,1992-04-15
대전광역시 중구 대사동 137-3,160.09,철근콘크리트구조,단독주택,(철근)콘크리트,2023-11-30
대전광역시 중구 대사동 137-4,43.23,벽돌구조,단독주택,(철근)콘크리트,1979-09-21
대전광역시 중구 대사동 137-5,35.23,일반목구조,단독주택,기와,1959
대전광역시 중구 대사동 138-1,108.89,경량철골구조,단독주택,기타지붕,2014-04-03
대전광역시 중구 대사동 138-4,134.82,벽돌구조,단독주택,(철근)콘크리트,1991-06-18
대전광역시 중구 대사동 139-2,115.97999999999999,일반목구조,단독주택,기와,1961
대전광역시 중구 대사동 139-3,71.42,벽돌구조,단독주택,(철근)콘크리트,1989-09-19
대전광역시 중구 대사동 139-9,57.19,벽돌구조,단독주택,(철근)콘크리트,1971-12-28
대전광역시 중구 대사동 140,186.38,벽돌구조,단독주택,(철근)콘크리트,1978-05-19
대전광역시 중구 대사동 141-1,53.98,벽돌구조,제2종근린생활시설,(철근)콘크리트,1978-09-11
대전광역시 중구 대사동 141-4,135.77,경량철골구조,제2종근린생활시설,기타지붕,2021-04-13
대전광역시 중구 대사동 142-1,100.28,벽돌구조,제1종근린생활시설,(철근)콘크리트,1981-02-28
대전광역시 중구 대사동 142-2,459.14,일반철골구조,제2종근린생활시설,기타지붕,2019-11-28
대전광역시 중구 대사동 142-4,82.67,벽돌구조,단독주택,슬레이트,1971-09-21
대전광역시 중구 대사동 143-2,73.08,철근콘크리트구조,제1종근린생활시설,(철근)콘크리트,1994-05-07
대전광역시 중구 대사동 148,54.61,벽돌구조,단독주택,(철근)콘크리트,1970-01-23
대전광역시 중구 대사동 148-1,194.06,철근콘크리트구조,공동주택,(철근)콘크리트,1995-08-29
대전광역시 중구 대사동 148-10,55.27,벽돌구조,단독주택,(철근)콘크리트,1972-07-18
대전광역시 중구 대사동 148-11,168.86,벽돌구조,제1종근린생활시설,(철근)콘크리트,1969-01-10
대전광역시 중구 대사동 148-13,101.65,벽돌구조,단독주택,(철근)콘크리트,1971-03-04
대전광역시 중구 대사동 148-14,65.29,벽돌구조,단독주택,(철근)콘크리트,1971-08-31
대전광역시 중구 대사동 148-16,53.26,벽돌구조,단독주택,(철근)콘크리트,1968-11-16
대전광역시 중구 대사동 148-17,60.69,벽돌구조,단독주택,(철근)콘크리트,1970-12-16
대전광역시 중구 대사동 148-18,86.08,벽돌구조,단독주택,(철근)콘크리트,1971-08-28
대전광역시 중구 대사동 148-19,231.54,벽돌구조,제1종근린생활시설,(철근)콘크리트,1976-03-09
대전광역시 중구 대사동 148-2,185.64,철근콘크리트구조,제2종근린생활시설,기타지붕,2007-08-01
대전광역시 중구 대사동 148-20,155.21,철근콘크리트구조,단독주택,(철근)콘크리트,1968-12-27
대전광역시 중구 대사동 148-27,71.44,벽돌구조,단독주택,(철근)콘크리트,1970-12-22
대전광역시 중구 대사동 148-28,50.91,벽돌구조,단독주택,(철근)콘크리트,1970-12-22
대전광역시 중구 대사동 148-31,51.77,벽돌구조,단독주택,(철근)콘크리트,1970-09-18
대전광역시 중구 대사동 148-33,61.11,벽돌구조,단독주택,(철근)콘크리트,1973-01-27
대전광역시 중구 대사동 148-6,66.54,벽돌구조,단독주택,(철근)콘크리트,1969-09-16
대전광역시 중구 대사동 15-4,68.86,일반목구조,단독주택,기와,1959
대전광역시 중구 대사동 151-2,81.42,일반목구조,단독주택,기와,1951
대전광역시 중구 대사동 152-1,78.72,벽돌구조,제2종근린생활시설,(철근)콘크리트,1984-08-07
대전광역시 중구 대사동 152-10,61.6,일반목구조,단독주택,기와,1983-04-26
대전광역시 중구 대사동 152-18,78.87,벽돌구조,단독주택,(철근)콘크리트,1984-08-07
대전광역시 중구 대사동 152-19,76.05,벽돌구조,단독주택,(철근)콘크리트,1984-08-07
대전광역시 중구 대사동 152-30,68.86,벽돌구조,단독주택,(철근)콘크리트,2003-06-17
대전광역시 중구 대사동 152-6,102.05,벽돌구조,단독주택,기와,1979-10-20
대전광역시 중구 대사동 152-8,113.78,벽돌구조,단독주택,(철근)콘크리트,1979-10-26
대전광역시 중구 대사동 152-9,42.55,블록구조,단독주택,기와,1974-08-28
대전광역시 중구 대사동 155-7,185.36,철근콘크리트구조,공동주택,(철근)콘크리트,2004-09-15
대전광역시 중구 대사동 156,37.82,블록구조,단독주택,기와,1970-04-06
대전광역시 중구 대사동 156-12,81.07,벽돌구조,단독주택,기와,1968-12-29
대전광역시 중구 대사동 156-13,151.41,벽돌구조,단독주택,(철근)콘크리트,1985-01-04
대전광역시 중구 대사동 156-14,41.75,일반목구조,단독주택,슬레이트,1954
대전광역시 중구 대사동 156-15,51.61,일반목구조,단독주택,기와,1960
대전광역시 중구 대사동 156-16,106.86,벽돌구조,단독주택,기와,1983-08-03
대전광역시 중구 대사동 156-17,45.91,벽돌구조,단독주택,기와,1982-11-04
대전광역시 중구 대사동 156-20,55.0,벽돌구조,단독주택,(철근)콘크리트,1996-07-22
