대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 동구 가양동 153-7,246.7,철근콘크리트구조,단독주택,(철근)콘크리트,2007-01-16
대전광역시 동구 가양동 153-8,254.52,철근콘크리트구조,공동주택,(철근)콘크리트,2015-09-21
대전광역시 동구 가양동 153-9,112.3,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1989-10-12
대전광역시 동구 가양동 154-1,179.34,철근콘크리트구조,단독주택,(철근)콘크리트,2011-11-09
대전광역시 동구 가양동 154-11,86.69,벽돌구조,단독주택,(철근)콘크리트,1982-09-11
대전광역시 동구 가양동 154-12,74.89,벽돌구조,단독주택,(철근)콘크리트,1982-11-11
대전광역시 동구 가양동 154-13,96.16,벽돌구조,단독주택,(철근)콘크리트,1982-10-05
대전광역시 동구 가양동 154-14,83.33,벽돌구조,단독주택,(철근)콘크리트,1982-11-11
대전광역시 동구 가양동 154-15,78.46,벽돌구조,단독주택,(철근)콘크리트,1982-09-11
대전광역시 동구 가양동 154-16,79.3,벽돌구조,단독주택,(철근)콘크리트,1982-11-11
대전광역시 동구 가양동 154-17,95.36,벽돌구조,단독주택,(철근)콘크리트,1982-04-15
대전광역시 동구 가양동 154-18,82.15,벽돌구조,단독주택,(철근)콘크리트,1981-12-04
대전광역시 동구 가양동 154-19,82.15,벽돌구조,단독주택,(철근)콘크리트,1981-12-04
대전광역시 동구 가양동 154-2,346.82,철근콘크리트구조,공동주택,(철근)콘크리트,1994-12-09
대전광역시 동구 가양동 154-20,84.15,경량철골구조,창고시설,기타지붕,2007-07-25
대전광역시 동구 가양동 154-21,111.35,벽돌구조,단독주택,(철근)콘크리트,1984-04-18
