대지위치,건축면적,주구조,용도,지붕구조,사용승인일자
대전광역시 대덕구 대화동 16-224,92.84,벽돌구조,단독주택,(철근)콘크리트,1979-08-03
대전광역시 대덕구 대화동 16-225,65.0,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,1983-05-28
대전광역시 대덕구 대화동 16-226,159.02,벽돌구조,단독주택,(철근)콘크리트,1989-05-16
대전광역시 대덕구 대화동 16-227,144.11,벽돌구조,단독주택,(철근)콘크리트,1980-07-31
대전광역시 대덕구 대화동 16-228,73.8,벽돌구조,단독주택,(철근)콘크리트,1985-05-25
대전광역시 대덕구 대화동 16-23,70.51,벽돌구조,단독주택,(철근)콘크리트,1975-04-14
대전광역시 대덕구 대화동 16-24,72.42,벽돌구조,단독주택,(철근)콘크리트,1976-05-14
대전광역시 대덕구 대화동 16-242,82.9,벽돌구조,단독주택,(철근)콘크리트,1977-12-21
대전광역시 대덕구 대화동 16-253,78.65,벽돌구조,단독주택,(철근)콘크리트,1977-10-31
대전광역시 대덕구 대화동 16-255,90.42,벽돌구조,단독주택,슬레이트,1977-12-23
대전광역시 대덕구 대화동 16-259,110.7,벽돌구조,단독주택,(철근)콘크리트,1980-06-27
대전광역시 대덕구 대화동 16-264,62.17,벽돌구조,단독주택,(철근)콘크리트,1977-06-30
대전광역시 대덕구 대화동 16-266,124.76,벽돌구조,단독주택,(철근)콘크리트,1979-07-07
대전광역시 대덕구 대화동 16-271,84.86,벽돌구조,단독주택,(철근)콘크리트,1977-10-22
대전광역시 대덕구 대화동 16-272,112.73,벽돌구조,단독주택,(철근)콘크리트,1978-06-30
대전광역시 대덕구 대화동 16-279,164.25,철근콘크리트구조,제2종근린생활시설,(철근)콘크리트,
대전광역시 대덕구 대화동 16-29,71.21,벽돌구조,단독주택,기와,1975-09-22
대전광역시 대덕구 대화동 16-290,83.04,벽돌구조,단독주택,(철근)콘크리트,1976-07-28
대전광역시 대덕구 대화동 16-30,177.035,블록구조,단독주택,슬레이트,1975-05-22
대전광역시 대덕구 대화동 16-35,216.37,벽돌구조,제2종근린생활시설,슬레이트,1982-11-24
대전광역시 대덕구 대화동 16-36,58.45,벽돌구조,단독주택,기와,1975-05-27
대전광역시 대덕구 대화동 16-38,74.89,벽돌구조,단독주택,기와,1993-03-10
대전광역시 대덕구 대화동 16-39,68.13,철근콘크리트구조,단독주택,(철근)콘크리트,2004-11-03
대전광역시 대덕구 대화동 16-48,52.4,블록구조,단독주택,슬레이트,1975-04-03
대전광역시 대덕구 대화동 16-5,14232.48,철근콘크리트구조,공동주택,(철근)콘크리트,1987-12-22
대전광역시 대덕구 대화동 16-51,66.74,벽돌구조,단독주택,(철근)콘크리트,1975-10-07
대전광역시 대덕구 대화동 16-52,49.88,블록구조,단독주택,기와,1975-11-28
대전광역시 대덕구 대화동 16-53,66.21,벽돌구조,단독주택,(철근)콘크리트,1976-02-26
대전광역시 대덕구 대화동 16-57,82.84,벽돌구조,단독주택,(철근)콘크리트,1975-12-03
대전광역시 대덕구 대화동 16-58,63.47,벽돌구조,단독주택,기와,1975-07-19
대전광역시 대덕구 대화동 16-59,81.75,벽돌구조,단독주택,(철근)콘크리트,1977-11-29
대전광역시 대덕구 대화동 16-61,98.8,철근콘크리트구조,단독주택,(철근)콘크리트,1981-04-20
대전광역시 대덕구 대화동 16-62,98.82,벽돌구조,단독주택,(철근)콘크리트,1975-11-29
대전광역시 대덕구 대화동 16-63,202.55,벽돌구조,단독주택,(철근)콘크리트,1977-09-14
대전광역시 대덕구 대화동 16-64,66.48,벽돌구조,단독주택,(철근)콘크리트,1975-11-03
대전광역시 대덕구 대화동 16-65,68.96,벽돌구조,단독주택,(철근)콘크리트,1991-11-26
대전광역시 대덕구 대화동 16-66,70.93,블록구조,단독주택,기와,1983-03-31
대전광역시 대덕구 대화동 16-67,55.07,벽돌구조,단독주택,기와,1976-01-27
대전광역시 대덕구 대화동 16-68,82.62,벽돌구조,단독주택,(철근)콘크리트,1979-10-19
대전광역시 대덕구 대화동 16-69,78.51,벽돌구조,단독주택,기와,1976-11-15
대전광역시 대덕구 대화동 16-71,77.75,벽돌구조,단독주택,(철근)콘크리트,1976-07-02
